categorie,type,prix,adresse,lien
chaussures-homme,Baskets New Balance 530,25000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5719023_uploaded_image1_1768320082.jpg
chaussures-homme,Baskets Adidas Samba,20000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5719018_uploaded_image1_1768319934.jpg
chaussures-homme,Chaussures orthopédiques,10000.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5716881_uploaded_image1_1768228848.jpg
chaussures-homme,Baskets Nike TN,15000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5716742_uploaded_image1_1768223689.jpg
chaussures-homme,Mocassins homme,12000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5716397_uploaded_image1_1768212595.jpg
chaussures-homme,Chaussures  homme,12000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5716365_uploaded_image1_1768211528.jpg
chaussures-homme,Chaussures  homme,22000.0,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5715935_uploaded_image1_1768181423.jpg
chaussures-homme,Chaussures  homme,18000.0,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5715932_uploaded_image1_1768181055.jpg
chaussures-homme,Chaussures  homme,15000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5714834_uploaded_image1_1768103056.jpg
chaussures-homme,Sandales homme,25000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5713963_uploaded_image1_1768047987.jpg
