categorie,type,prix,adresse,lien
chaussures-enfants,Chaussures filles,25000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4781990_uploaded_image1_1717637500.jpg
chaussures-enfants,Chaussures enfants,15000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4781989_uploaded_image1_1717637364.jpg
chaussures-enfants,Chaussures enfants,8000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4779994_uploaded_image1_1717548193.jpg
chaussures-enfants,Chaussures enfants,8000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4779993_uploaded_image1_1717548114.jpg
chaussures-enfants,Chaussures pour enfants,2500.0,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_4775765_uploaded_image1_1717362018.jpg
chaussures-enfants,Timberland enfants,7000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4763656_uploaded_image1_1716765652.jpg
chaussures-enfants,Chaussures bébés Air Force,10000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4735737_uploaded_image1_1715305215.jpg
chaussures-enfants,Chaussures enfants,2500.0,"location_onMermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4680911_uploaded_image1_1712514020.jpg
chaussures-enfants,Chaussures enfants,15000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4676405_uploaded_image1_1712262646.jpg
chaussures-enfants,Pantoufles  enfants,2500.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4632466_uploaded_image1_1709901740.jpg
chaussures-enfants,Pantoufle enfants,2500.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4626680_uploaded_image1_1709644598.jpg
chaussures-enfants,Chaussures enfant Ogiy,17000.0,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623157_uploaded_image1_1709480174.jpg
chaussures-enfants,Chaussures enfants,6500.0,"location_onSipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608262_uploaded_image1_1708692132.jpg
chaussures-enfants,Chaussures enfants,6500.0,"location_onSipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608259_uploaded_image1_1708692072.jpg
chaussures-enfants,Chaussures enfant,6000.0,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4566463_uploaded_image1_1706455557.jpg
