categorie,type,prix,adresse,lien
vetements-enfants,Dialab enfant 3pièces,12000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5227233_uploaded_image1_1741720597.jpg
vetements-enfants,Ensemble dialab enfants 3pièces,15000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214607_uploaded_image1_1741112466.jpg
vetements-enfants,Ensemble dialab pour enfant de 3ans jusqua 16ans,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214582_uploaded_image1_1741111696.jpg
vetements-enfants,Dialab pour enfant,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5214595_uploaded_image1_1741112064.jpg
vetements-enfants,Robe Iris enfant,15000.0,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5204766_uploaded_image1_1740600489.jpg
vetements-enfants,Jalaba  pour enfants,15000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246903_uploaded_image1_1742748145.jpg
vetements-enfants,Jalaba  pour enfants,7000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246901_uploaded_image2_1742748053.jpeg
vetements-enfants,Maillots enfants,10000.0,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5246062_uploaded_image1_1742692008.jpg
vetements-enfants,Robe de prière  enfant,5000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5241328_uploaded_image1_1742452229.jpg
vetements-enfants,Vetement  enfants,8500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5193655_uploaded_image1_1739987145.jpg
vetements-enfants,Djialap pour enfant de 4ans jusqua 18ans,6500.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181431_uploaded_image1_1739304816.jpg
vetements-enfants,Dialabé enfant,10000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181204_uploaded_image1_1739296973.jpg
vetements-enfants,Djialabé enfant,8000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196620_uploaded_image1_1740145128.jpg
vetements-enfants,Ensemble mardi gras,8000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5171755_uploaded_image1_1738776386.jpg
vetements-enfants,Ensemble pour enfant de 1ans jusqua 15ans,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5116396_uploaded_image1_1735846707.jpg
vetements-enfants,Vêtement enfant,1000.0,"location_onSicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5141487_uploaded_image1_1737219569.jpg
